Sample	Description	Platform	Date	Depth (m)	Depth Class	Size Fraction
SRR5643672	"Lake Taihu, China"	Illumina MiSeq	1-Nov-14	0.5	Surface	Free-Living
SRR5643673	"Lake Taihu, China"	Illumina MiSeq	1-Dec-14	0.5	Surface	Free-Living
SRR5643674	"Lake Taihu, China"	Illumina MiSeq	1-Jan-15	0.5	Surface	Free-Living
SRR5643675	"Lake Taihu, China"	Illumina MiSeq	1-Jan-15	0.5	Surface	Free-Living
SRR5643676	"Lake Taihu, China"	Illumina MiSeq	1-Mar-15	0.5	Surface	Free-Living
SRR5643677	"Lake Taihu, China"	Illumina MiSeq	1-Apr-15	0.5	Surface	Free-Living
SRR5643678	"Lake Taihu, China"	Illumina MiSeq	1-May-15	0.5	Surface	Free-Living
SRR5643743	"Lake Taihu, China"	Illumina MiSeq	1-Jun-15	0.5	Surface	Free-Living
SRR5643744	"Lake Taihu, China"	Illumina MiSeq	1-Jul-15	0.5	Surface	Free-Living
SRR5643745	"Lake Taihu, China"	Illumina MiSeq	1-Feb-15	0.5	Surface	Free-Living
SRR5643930	"Lake Taihu, China"	Illumina MiSeq	1-Jul-14	0.5	Surface	3-36 um
SRR5643931	"Lake Taihu, China"	Illumina MiSeq	1-Aug-14	0.5	Surface	3-36 um
SRR5643932	"Lake Taihu, China"	Illumina MiSeq	1-Sep-14	0.5	Surface	3-36 um
SRR5643933	"Lake Taihu, China"	Illumina MiSeq	1-Oct-14	0.5	Surface	3-36 um
SRR5643934	"Lake Taihu, China"	Illumina MiSeq	1-Nov-14	0.5	Surface	3-36 um
SRR5643935	"Lake Taihu, China"	Illumina MiSeq	1-Dec-14	0.5	Surface	3-36 um
SRR5643936	"Lake Taihu, China"	Illumina MiSeq	1-Jan-15	0.5	Surface	3-36 um
SRR5643937	"Lake Taihu, China"	Illumina MiSeq	1-Feb-15	0.5	Surface	3-36 um
SRR5643938	"Lake Taihu, China"	Illumina MiSeq	1-Mar-15	0.5	Surface	3-36 um
SRR5644039	"Lake Taihu, China"	Illumina MiSeq	1-Apr-15	0.5	Surface	3-36 um
SRR5644041	"Lake Taihu, China"	Illumina MiSeq	1-May-15	0.5	Surface	3-36 um
SRR5644042	"Lake Taihu, China"	Illumina MiSeq	1-Jun-15	0.5	Surface	3-36 um
SRR5644043	"Lake Taihu, China"	Illumina MiSeq	1-Jul-15	0.5	Surface	3-36 um
SRR5644044	"Lake Taihu, China"	Illumina MiSeq	1-Jul-14	0.5	Surface	>120 um
SRR5644045	"Lake Taihu, China"	Illumina MiSeq	1-Aug-14	0.5	Surface	>120 um
SRR5644046	"Lake Taihu, China"	Illumina MiSeq	1-Sep-14	0.5	Surface	>120 um
SRR5644047	"Lake Taihu, China"	Illumina MiSeq	1-Oct-14	0.5	Surface	>120 um
SRR5644049	"Lake Taihu, China"	Illumina MiSeq	1-Nov-14	0.5	Surface	>120 um
SRR5644050	"Lake Taihu, China"	Illumina MiSeq	1-Dec-14	0.5	Surface	>120 um
SRR5644051	"Lake Taihu, China"	Illumina MiSeq	1-Jan-15	0.5	Surface	>120 um
SRR5644052	"Lake Taihu, China"	Illumina MiSeq	1-Feb-15	0.5	Surface	>120 um
SRR5644053	"Lake Taihu, China"	Illumina MiSeq	1-Mar-15	0.5	Surface	>120 um
SRR5644054	"Lake Taihu, China"	Illumina MiSeq	1-Apr-15	0.5	Surface	>120 um
SRR5644057	"Lake Taihu, China"	Illumina MiSeq	1-May-15	0.5	Surface	>120 um
SRR5644058	"Lake Taihu, China"	Illumina MiSeq	1-Jun-15	0.5	Surface	>120 um
SRR5644059	"Lake Taihu, China"	Illumina MiSeq	1-Jul-15	0.5	Surface	>120 um
SRR7472463	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Sep-16	2	Bottom	Total
SRR7472464	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Sep-16	0	Surface	Total
SRR7472465	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Sep-16	2	Bottom	Total
SRR7472466	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Sep-16	0	Surface	Total
SRR7472467	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Sep-16	2	Bottom	Total
SRR7472468	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Oct-16	0	Surface	Total
SRR7472469	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Oct-16	2	Bottom	Total
SRR7472470	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Oct-16	0	Surface	Total
SRR7472471	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Oct-16	2	Bottom	Total
SRR7472472	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Oct-16	0	Surface	Total
SRR7472473	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jul-17	0	Surface	Total
SRR7472474	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Aug-16	0	Surface	Total
SRR7472475	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-May-17	0	Surface	Total
SRR7472476	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Apr-17	0	Surface	Total
SRR7472477	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Aug-17	0	Surface	Total
SRR7472478	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Aug-17	2	Bottom	Total
SRR7472479	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jul-17	2	Bottom	Total
SRR7472480	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Apr-17	2	Bottom	Total
SRR7472481	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jun-17	2	Bottom	Total
SRR7472482	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jul-17	2	Bottom	Total
SRR7472483	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-May-17	0	Surface	Total
SRR7472484	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Apr-17	2	Bottom	Total
SRR7472485	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Feb-17	0	Surface	Total
SRR7472486	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Feb-17	2	Bottom	Total
SRR7472487	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-May-17	0	Bottom	Total
SRR7472488	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Aug-17	2	Bottom	Total
SRR7472489	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Dec-16	0	Surface	Total
SRR7472490	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Dec-16	2	Bottom	Total
SRR7472491	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Feb-17	0	Surface	Total
SRR7472492	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Dec-16	2	Bottom	Total
SRR7472493	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Dec-16	0	Surface	Total
SRR7472494	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Oct-16	2	Bottom	Total
SRR7472495	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Dec-16	0	Surface	Total
SRR7472496	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Dec-16	2	Bottom	Total
SRR7472497	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Aug-17	0	Surface	Total
SRR7472498	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Aug-17	2	Bottom	Total
SRR7472499	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jun-17	2	Bottom	Total
SRR7472500	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Aug-17	0	Surface	Total
SRR7472501	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jun-17	0	Surface	Total
SRR7472502	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Apr-17	0	Surface	Total
SRR7472503	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Aug-16	0	Surface	Total
SRR7472504	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jul-17	2	Bottom	Total
SRR7472505	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Apr-17	2	Bottom	Total
SRR7472506	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jul-16	0	Surface	Total
SRR7472507	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jul-16	0	Surface	Total
SRR7472508	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Aug-16	0	Surface	Total
SRR7472509	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jul-17	2	Bottom	Total
SRR7472510	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jun-16	0	Surface	Total
SRR7472511	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jun-16	0	Surface	Total
SRR7472512	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jun-16	0	Surface	Total
SRR7472513	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jul-16	0	Surface	Total
SRR7472514	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-May-17	0	Surface	Total
SRR7472515	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Sep-16	0	Surface	Total
SRR7472516	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Jun-17	2	Bottom	Total
SRR7472517	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Jun-17	0	Surface	Total
SRR7472518	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-May-17	2	Bottom	Total
SRR7472519	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jul-17	0	Surface	Total
SRR7472520	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-May-17	2	Bottom	Total
SRR7472521	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Jun-17	0	Surface	Total
SRR7472522	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Mar-17	2	Bottom	Total
SRR7472523	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Apr-17	0	Surface	Total
SRR7472524	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Mar-17	2	Bottom	Total
SRR7472525	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Mar-17	0	Surface	Total
SRR7472526	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Mar-17	2	Bottom	Total
SRR7472527	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Mar-17	0	Surface	Total
SRR7472528	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Feb-17	2	Bottom	Total
SRR7472529	"Nakdong River, South Korea Site MG1"	Illumina MiSeq	1-Mar-17	0	Surface	Total
SRR7472530	"Nakdong River, South Korea Site MG2"	Illumina MiSeq	1-Feb-17	2	Bottom	Total
SRR7472531	"Nakdong River, South Korea Site USF"	Illumina MiSeq	1-Feb-17	0	Surface	Total
QC_ERR1547032	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	1-Aug-02	0-12	Integrated	Total
QC_ERR1547033	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	1-Jul-02	0-12	Integrated	Total
QC_ERR1547034	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	1-Nov-07	0-12	Integrated	Total
QC_ERR1547035	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	2-Aug-05	0-12	Integrated	Total
QC_ERR1547036	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	2-Jul-01	0-12	Integrated	Total
QC_ERR1547037	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	2-Oct-08	0-12	Integrated	Total
QC_ERR1547038	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	2-Sep-04	0-12	Integrated	Total
QC_ERR1547039	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	3-Nov-06	0-12	Integrated	Total
QC_ERR1547040	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	4-Dec-09	0-12	Integrated	Total
QC_ERR1547041	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	4-Jun-01	0-12	Integrated	Total
QC_ERR1547042	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	4-May-06	0-12	Integrated	Total
QC_ERR1547043	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	5-Jun-02	0-12	Integrated	Total
QC_ERR1547044	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	5-Jun-08	0-12	Integrated	Total
QC_ERR1547045	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	6-Aug-04	0-12	Integrated	Total
QC_ERR1547046	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	6-Jun-00	0-12	Integrated	Total
QC_ERR1547047	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	6-Nov-01	0-12	Integrated	Total
QC_ERR1547048	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	6-Oct-06	0-12	Integrated	Total
QC_ERR1547049	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	7-Aug-03	0-12	Integrated	Total
QC_ERR1547050	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	7-Aug-08	0-12	Integrated	Total
QC_ERR1547051	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	7-May-02	0-12	Integrated	Total
QC_ERR1547052	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	8-Jul-04	0-12	Integrated	Total
QC_ERR1547053	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	8-Nov-05	0-12	Integrated	Total
QC_ERR1547054	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	8-Sep-03	0-12	Integrated	Total
QC_ERR1547055	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	8-Sep-06	0-12	Integrated	Total
QC_ERR1547056	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	9-Jun-03	0-12	Integrated	Total
QC_ERR1547057	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	9-Jun-06	0-12	Integrated	Total
QC_ERR1547058	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	9-Jun-09	0-12	Integrated	Total
QC_ERR1547059	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	10-May-08	0-12	Integrated	Total
QC_ERR1547060	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	10-Oct-05	0-12	Integrated	Total
QC_ERR1547061	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-Apr-05	0-12	Integrated	Total
QC_ERR1547062	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-Feb-05	0-12	Integrated	Total
QC_ERR1547063	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-Jun-04	0-12	Integrated	Total
QC_ERR1547064	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-May-00	0-12	Integrated	Total
QC_ERR1547065	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-May-07	0-12	Integrated	Total
QC_ERR1547066	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	11-Nov-03	0-12	Integrated	Total
QC_ERR1547067	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	12-Oct-04	0-12	Integrated	Total
QC_ERR1547068	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	12-Oct-07	0-12	Integrated	Total
QC_ERR1547069	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	13-Aug-01	0-12	Integrated	Total
QC_ERR1547070	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	13-Jul-06	0-12	Integrated	Total
QC_ERR1547071	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	13-Mar-01	0-12	Integrated	Total
QC_ERR1547072	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	13-May-03	0-12	Integrated	Total
QC_ERR1547073	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	13-Oct-10	0-12	Integrated	Total
QC_ERR1547074	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	14-Apr-00	0-12	Integrated	Total
QC_ERR1547075	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	14-Nov-09	0-12	Integrated	Total
QC_ERR1547076	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	14-Sep-10	0-12	Integrated	Total
QC_ERR1547077	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	15-Jul-10	0-12	Integrated	Total
QC_ERR1547078	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	15-Jun-10	0-12	Integrated	Total
QC_ERR1547079	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	15-Mar-00	0-12	Integrated	Total
QC_ERR1547080	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	15-Oct-03	0-12	Integrated	Total
QC_ERR1547081	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	17-Apr-02	0-12	Integrated	Total
QC_ERR1547082	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	17-Aug-00	0-12	Integrated	Total
QC_ERR1547083	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	17-Aug-10	0-12	Integrated	Total
QC_ERR1547084	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	17-Jan-01	0-12	Integrated	Total
QC_ERR1547085	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	17-Jul-00	0-12	Integrated	Total
QC_ERR1547086	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	18-May-10	0-12	Integrated	Total
QC_ERR1547087	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	19-Jan-11	0-12	Integrated	Total
QC_ERR1547088	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	19-May-04	0-12	Integrated	Total
QC_ERR1547089	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	19-Nov-10	0-12	Integrated	Total
QC_ERR1547090	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	19-Sep-05	0-12	Integrated	Total
QC_ERR1547091	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	1-Jun-11	0-12	Integrated	Total
QC_ERR1547092	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	20-Apr-10	0-12	Integrated	Total
QC_ERR1547093	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	20-Aug-07	0-12	Integrated	Total
QC_ERR1547094	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	20-Nov-02	0-12	Integrated	Total
QC_ERR1547095	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	20-Oct-02	0-12	Integrated	Total
QC_ERR1547096	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	21-May-01	0-12	Integrated	Total
QC_ERR1547097	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	22-Apr-01	0-12	Integrated	Total
QC_ERR1547098	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	22-Aug-06	0-12	Integrated	Total
QC_ERR1547099	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	22-Jun-05	0-12	Integrated	Total
QC_ERR1547100	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	22-Oct-01	0-12	Integrated	Total
QC_ERR1547101	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	23-Jul-07	0-12	Integrated	Total
QC_ERR1547102	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	24-Feb-09	0-12	Integrated	Total
QC_ERR1547103	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	24-Oct-00	0-12	Integrated	Total
QC_ERR1547104	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	24-Sep-02	0-12	Integrated	Total
QC_ERR1547105	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	25-Jun-07	0-12	Integrated	Total
QC_ERR1547106	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	25-May-05	0-12	Integrated	Total
QC_ERR1547107	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Aug-09	0-12	Integrated	Total
QC_ERR1547108	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Feb-10	0-12	Integrated	Total
QC_ERR1547109	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Jun-09	0-12	Integrated	Total
QC_ERR1547110	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Oct-09	0-12	Integrated	Total
QC_ERR1547111	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Sep-00	0-12	Integrated	Total
QC_ERR1547112	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	26-Sep-01	0-12	Integrated	Total
QC_ERR1547113	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	27-Jun-03	0-12	Integrated	Total
QC_ERR1547114	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	27-Sep-07	0-12	Integrated	Total
QC_ERR1547115	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	27-Sep-09	0-12	Integrated	Total
QC_ERR1547116	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	28-Feb-02	0-12	Integrated	Total
QC_ERR1547117	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	28-Feb-11	0-12	Integrated	Total
QC_ERR1547118	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	28-Nov-00	0-12	Integrated	Total
QC_ERR1547119	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	29-Apr-09	0-12	Integrated	Total
QC_ERR1547120	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	29-Aug-02	0-12	Integrated	Total
QC_ERR1547121	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	29-Jan-10	0-12	Integrated	Total
QC_ERR1547122	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	29-May-07	0-12	Integrated	Total
QC_ERR1547123	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	30-Jul-09	0-12	Integrated	Total
QC_ERR1547124	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	30-Sep-04	0-12	Integrated	Total
QC_ERR1547125	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	31-Aug-05	0-12	Integrated	Total
QC_ERR1547126	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	3-Dec-10	0-12	Integrated	Total
QC_ERR1547127	"Lake Mendota, Wisconsin, USA"	Illumina HiSeq 2000	3-May-11	0-12	Integrated	Total
SRR5246902	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	29-Aug-08	0-1	Surface	Total
SRR5246903	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	29-Aug-08	0-1	Surface	Total
SRR5246904	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	29-Aug-07	0-1	Surface	Total
SRR5246905	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	29-Jul-09	0-1	Surface	Total
SRR5246906	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	28-Jul-08	0-1	Surface	Total
SRR5246907	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Oct-08	0-1	Surface	Total
SRR5246908	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Oct-08	0-1	Surface	Total
SRR5246909	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Aug-13	0-1	Surface	Total
SRR5246910	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Aug-13	0-1	Surface	Total
SRR5246911	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Jun-06	0-1	Surface	Total
SRR5246912	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	27-Jun-06	0-1	Surface	Total
SRR5246913	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	26-Sep-06	0-1	Surface	Total
SRR5246914	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	26-Sep-07	0-1	Surface	Total
SRR5246915	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	26-Sep-07	0-1	Surface	Total
SRR5246916	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	26-Jul-10	0-1	Surface	Total
SRR5246917	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	25-Jul-09	0-1	Surface	Total
SRR5246918	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	25-Jul-09	0-1	Surface	Total
SRR5246919	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	25-Jul-06	0-1	Surface	Total
SRR5246920	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	25-Jun-08	0-1	Surface	Total
SRR5246921	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	25-Jun-08	0-1	Surface	Total
SRR5246922	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	24-Apr-12	0-1	Surface	Total
SRR5246923	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Oct-13	0-1	Surface	Total
SRR5246924	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Oct-13	0-1	Surface	Total
SRR5246925	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Sep-09	0-1	Surface	Total
SRR5246926	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Sep-09	0-1	Surface	Total
SRR5246927	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Aug-11	0-1	Surface	Total
SRR5246928	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	23-Aug-11	0-1	Surface	Total
SRR5246929	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-09	0-1	Surface	Total
SRR5246930	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-09	0-1	Surface	Total
SRR5246931	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-10	0-1	Surface	Total
SRR5246932	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-07	0-1	Surface	Total
SRR5246933	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-07	0-1	Surface	Total
SRR5246934	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-06	0-1	Surface	Total
SRR5246935	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-Aug-06	0-1	Surface	Total
SRR5246936	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	22-May-08	0-1	Surface	Total
SRR5246937	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	21-Jun-11	0-1	Surface	Total
SRR5246938	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	21-Jun-11	0-1	Surface	Total
SRR5246939	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	20-Jul-12	0-1	Surface	Total
SRR5246940	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	20-Jul-12	0-1	Surface	Total
SRR5246941	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	20-May-09	0-1	Surface	Total
SRR5246942	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	20-May-09	0-1	Surface	Total
